Name,UID,Pod Name,Players,Coach(es),Formation Date,Status,Raw Communication Log,Session Plan,Session Drill(s),Created Time,Last Modified,Player Profile
Linked record (Pod),PD-250506-031229,,,,,,,Unnamed record,,5/5/2025 11:12pm,5/5/2025 11:15pm,
POD-002,PD-250506-031229,,,,,,,Unnamed record,,5/5/2025 11:12pm,5/7/2025 10:51pm,
Practice,PD-250507-024648,,,,,,,,,5/6/2025 10:46pm,5/6/2025 10:47pm,
PickUp,PD-250507-024648,,,,,,,,,5/6/2025 10:46pm,5/6/2025 10:47pm,
Game,PD-250507-024648,,,,,,,,,5/6/2025 10:46pm,5/6/2025 10:47pm,
