id,name,category,description,active,created_at,tag_type
35ec0f18-8902-4302-ba8f-5329d64c315d,Floor is Lava,constraint,Constraint to reinforce spacing around the paint,true,2025-05-19 17:54:09.099952,
4d1857a1-2323-46f1-8ba7-d193bc48f359,Base and Balance,constraint,Shot base control and balance,true,2025-05-19 17:54:09.099952,
7e9ed6ac-410e-4852-8fd0-13e675758103,Push/Pull,theme,Off-ball movement cue based on ball handler's vector,true,2025-05-19 17:54:09.099952,
c2b50266-b2f2-4a24-ab2e-9a380fda7553,Stride Stop Finish,constraint,Finishing off two feet with control,true,2025-05-19 17:54:09.099952,
ef8480ae-f157-492e-abce-bd2ac183264a,Right-Hand Constraint,constraint,Must use right hand during live reps,true,2025-05-19 17:54:09.099952,
